Contract Reference,Customer,Customer Number,Item Description,Network Item Number,Manufacturer Part Number,Manufacturer,UOM,Case/Pack,UPC,Contract Number,Manufacturer Tier,Origin,Valid From,Valid To,Cost,Markup Percent,Network Tier,Network Markup Tier,GTM Markup Percent,Cost Fee Before Markup,GTM Fee Before Markup,Cost Fee After Markup,GTM Fee After Markup,Total Markup,Markup Dollar,GTM Fee,Final Price,Previous Price,Difference,Percent Change,Status,Contracted,Exclusion Reason,Network Tier,Product Category
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Sm,1232940,330934,Private Label,CS,1000,10840239100211,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Md,1232941,330935,Private Label,CS,1000,10840239100228,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Lg,1232942,330936,Private Label,CS,1000,10840239100235,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake XL,1232943,330937,Private Label,CS,1000,10840239100242,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,72.88,0,0,NO CHANGE,N,,,Apparel & Safety
88888,&Pizza,381000000,"Register Tape 3"" x 100' Carbonless 2-Ply",1237829,300100C,HEARTLAND LABEL,CS,50,55000012378296,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,46.45,46.45,0,0,NO CHANGE,N,,,Other
88888,&Pizza,381000000,&pizza Cold Cup 20 oz PET Custom Color,1248130,ANDCUP20,Private Label,CS,1000,840239101600,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,84.41,84.41,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Chesapeake Portion Cup 2oz Plastic Clr,1255735,200APS,Private Label,CS,2500,840239101648,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,34.25,34.25,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Chesapeake Portion Cup Lid 1.5-2 oz,1255743,200APL,Private Label,CS,2500,840239101723,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,32.52,32.52,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,"Label 3"" Use First UltraremvbleDot 500RL",1261419,UF4911,National Checking Co,EA,500,18291268849,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,11.75,11.75,0,0,NO CHANGE,N,,,Other
88888,&Pizza,381000000,Chesapeake Scour Pad Grn GP,1275329,CH9620,Private Label,CS,20,840239102652,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,5.78,5.78,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,enMotion Tranquil Aloe Soap Foam 1200mL,1283347,42715,Georgia Pacific Corporation,CS,2,10073310427154,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,38.63,38.63,0,0,NO CHANGE,N,,,Skin Care
88888,&Pizza,381000000,&pizza Dimple Sheet Liner Rectangular,1297941,AND187,Delta Paper,CS,1000,735153085825,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,34.07,34.07,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,&pizza Dimple Sheet Liner Oval,1297942,AND188,Delta Paper,CS,1000,55000012979424,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,45.73,45.73,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Foodservice Foil 18x500' Standard,1324706,AFW18X500,Inteplast,RL,1,762935052713,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,19.85,19.85,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Towel Microfiber 16x16 Microworks Blu,1345956,2502-B-DZ,Hospeco The Specialties Company,PK,12,787081250226,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,10.55,10.55,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,&pizza PizzaBox 7x18x2 AcmeE-Flute AndWe,1347999,ANDBOX31,Timbar,BD,50,55000013479992,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,17.23,17.23,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Scrubber Stainess Steel 12/Bx,1352898,S730/6,South Wing Hing,BX,12,55000013528980,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,7.95,7.95,0,0,NO CHANGE,N,,,Janitorial Supplies & Equipment
88888,&Pizza,381000000,&Pizza Paper Shopper 19.11x7.87x14.96,1356966,FS&PIZZAPAPER,Whitehall Products,CS,200,55000013569662,,,,2022-06-01T00:00:00.000Z,2022-06-30T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,128.22,128.22,0,0,NO CHANGE,N,,,Foodservice
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Sm,1232940,330934,Private Label,CS,1000,10840239100211,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Md,1232941,330935,Private Label,CS,1000,10840239100228,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake Lg,1232942,330936,Private Label,CS,1000,10840239100235,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
88888,&Pizza,381000000,Glove Vnyl GP PF Chesapeake XL,1232943,330937,Private Label,CS,1000,10840239100242,,,,2021-02-19T00:00:00.000Z,9999-12-31T00:00:00.000Z,0,0,,,0,0,0,,0,0,0,0,72.88,0,0,0,NEW ITEM,N,,Z1,Apparel & Safety
