Account,Header Code/Type ,Document Number,Date,PO#,Original Invoice Amount,Current Total Open Amount,Acme Customer Number,Ship To Network Number
120,RI,7847423,11/17/2023,CANTON111323,5.57,.00,406028,
120,RI,7847486,11/20/2023,VERBAL,96.16,.00,94890,
120,RI,7847747,11/20/2023,B04050002577,452.75,.00,406119,
120,RI,7848359,11/21/2023,TGT112023,1128.07,.00,406024,
120,RI,7848360,11/21/2023,B04050002581,1299.91,.00,406520,
120,RI,7848394,11/21/2023,B04050002583,2288.72,.00,406125,
120,RI,7848443,11/21/2023,B04050002584,1291.69,.00,406103,
120,RI,7848461,11/21/2023,B04050002585,1990.93,.00,406115,
120,RI,7848522,11/21/2023,B04050002586,1867.03,.00,406107,
120,RI,7848650,11/21/2023,B04050002590,1181.06,.00,406112,
120,RI,7848652,11/21/2023,B04050002588,1481.78,.00,406111,
120,RI,7848658,11/21/2023,B04050002591,66.65,.00,406111,
120,RI,7848724,11/21/2023,B04050002579,2564.08,.00,406110,
120,RI,7848732,11/21/2023,B04050002563,1306.72,.00,406108,
120,RI,7848744,11/21/2023,B04050002578,1966.33,.00,406101,
120,RI,7848773,11/21/2023,B04050002540,200.79,.00,406108,
120,RI,7848774,11/21/2023,B04050002530,200.79,.00,406112,
120,RI,7848776,11/21/2023,B04050002546,42.26,.00,406112,
120,RI,7848777,11/21/2023,B04050002545,123.13,.00,406103,
120,RI,7848833,11/22/2023,B04050002587,754.77,.00,406126,
120,RI,7848913,11/22/2023,B04050002580,2107.49,.00,406106,
120,RI,7848988,11/22/2023,JOSH,98.57,.00,406024,
120,RI,7849173,11/22/2023,B04050002593,1402.68,.00,406028,
120,RI,7849365,11/22/2023,B04050002595,1075.66,.00,406020,
120,RI,7849467,11/24/2023,PER CORPORATE OFFICE,445.72,.00,406117,
120,RI,7849696,11/24/2023,B04050002589,1120.63,.00,406113,
120,RI,7849726,11/24/2023,B04050002594,180.90,.00,406113,
120,RI,7850445,11/28/2023,B04050002597,825.25,.00,406126,
120,RI,7850518,11/28/2023,B04050002599,828.88,.00,406106,
120,RI,7850673,11/28/2023,B04050002596,730.19,.00,406119,
120,RI,7850678,11/28/2023,B04050002598,805.77,.00,406110,
120,RI,7850690,11/28/2023,B04050002600,402.90,.00,406108,
120,RI,7850793,11/28/2023,TGT112723,762.95,.00,406024,
120,RI,7850852,11/28/2023,B04050002602,1226.71,.00,406125,
120,RI,7850913,11/28/2023,B04050002603,1285.64,.00,406115,
120,RI,7850914,11/28/2023,B04050002604,1683.58,.00,406105,
120,RI,7850925,11/28/2023,B04050002605,1166.42,.00,406111,
120,RI,7850931,11/28/2023,CANTON112723,818.16,.00,406028,
120,RI,7850956,11/28/2023,B04050002607,916.76,.00,406107,
120,RI,7850978,11/28/2023,CANTON1127B,70.77,.00,406028,
120,RI,7851027,11/28/2023,B04050002609,1274.05,.00,406103,
120,RI,7851189,11/29/2023,B04050002605,22.66,.00,406111,
120,RI,7851190,11/29/2023,AMANDA,27.43,.00,406108,
120,RI,7851711,11/29/2023,B04050002611,575.76,.00,406112,
120,RI,7851808,11/29/2023,B04050002600,81.62,.00,406108,
120,RI,7851993,11/30/2023,NEMCO,423.39,.00,406024,
120,RI,7852123,11/30/2023,B04050002612,1401.28,.00,406020,
120,RI,7852206,11/30/2023,B04050002613,1163.49,.00,406113,
120,RI,7852810,12/01/2023,B04050002614,1316.66,.00,406520,
120,RI,7853059,12/01/2023,060064,50.00,.00,694007,
120,RI,7853995,12/05/2023,B04050002622,1084.35,.00,406106,
120,RI,7854105,12/05/2023,B04050002615,635.85,.00,406119,
120,RI,7854108,12/05/2023,B04050002616,127.09,.00,406119,
120,RI,7854115,12/05/2023,B04050002617,822.56,.00,406110,
120,RI,7854117,12/05/2023,B04050002618,100.62,.00,406119,
120,RI,7854119,12/05/2023,CANTON123223,817.91,.00,406028,
120,RI,7854128,12/05/2023,B04050002620,577.27,.00,406108,
120,RI,7854133,12/05/2023,B04050002621,750.20,.00,406105,
120,RI,7854300,12/05/2023,B04050002623,770.84,.00,406115,
120,RI,7854304,12/05/2023,B04050002624,1016.16,.00,406125,
120,RI,7854370,12/05/2023,B04050002626,1279.74,.00,406107,
120,RI,7854371,12/05/2023,B04050002627,1016.81,.00,406103,
120,RI,7854372,12/05/2023,B04050002628,725.04,.00,406024,
120,RI,7854442,12/05/2023,B04050002629,1237.16,.00,406111,
120,RI,7854563,12/05/2023,B04050002556,31.38,.00,406119,
120,RI,7854615,12/06/2023,B04050002625,1006.58,.00,406126,
120,RI,7854616,12/06/2023,LYNDA,116.81,.00,406110,
120,RI,7854926,12/06/2023,B04050002630,943.61,.00,406101,
120,RI,7855262,12/06/2023,B04050002632,780.50,.00,406112,
120,RI,7855662,12/07/2023,B04050002633,1131.89,.00,406020,
120,RI,7855812,12/07/2023,B04060002483,797.39,.00,406004,
120,RI,7855937,12/07/2023,B04050002635,1140.66,.00,406113,
120,RI,7856239,12/08/2023,B04050002631,787.05,.00,406520,
120,RI,7856759,12/11/2023,54255998,130.22,.00,440995,
120,RI,7857441,12/12/2023,B04050002640,1466.78,.00,406106,
120,RI,7857600,12/12/2023,CANTON1210,721.54,.00,406028,
120,RI,7857601,12/12/2023,B04050002637,868.48,.00,406110,
120,RI,7857602,12/12/2023,B04050002638,432.76,.00,406119,
120,RI,7857603,12/12/2023,B04050002639,187.49,.00,406119,
120,RI,7857611,12/12/2023,B04050002641,570.38,.00,406108,
120,RI,7857732,12/12/2023,B04050002643,686.22,.00,406115,
120,RI,7857733,12/12/2023,B04050002644,1410.86,.00,406125,
120,RI,7857817,12/12/2023,B04050002645,1093.01,.00,406107,
120,RI,7857837,12/12/2023,TGT121123,657.32,.00,406024,
120,RI,7857980,12/12/2023,B04050002648,1283.77,.00,406111,
120,RI,7857994,12/12/2023,B04050002649,910.90,.00,406103,
120,RI,7858063,12/13/2023,B04050002647,864.87,.00,406126,
120,RI,7858661,12/13/2023,B04050002650,504.67,.00,406112,
120,RI,7859049,12/13/2023,12/13/2023-SHOP,195.00,.00,766203,
120,RI,7858904,12/14/2023,B04610042016,287.13,.00,789565,
120,RI,7858934,12/14/2023,0047,1056.24,.00,499301,
120,RI,7859216,12/14/2023,B04050002651,920.47,.00,406020,
120,RI,7859276,12/14/2023,B04050002653,892.42,.00,406113,
120,RI,7859630,12/15/2023,KATIE CLAUS,378.76,.00,406117,
120,RI,7859838,12/15/2023,B04050002654,877.37,.00,406520,
120,RI,7860096,12/15/2023,KITCHEN,206.75,.00,620203,
120,RI,7860098,12/15/2023,KITCHEN,212.05,.00,620203,
120,RI,7860100,12/15/2023,HOUSEKEEPING,380.40,.00,620203,
120,RI,7860258,12/15/2023,121423,908.14,.00,620203,
120,RI,7860496,12/18/2023,KATIE,54.72,.00,406117,
120,RI,7860719,12/18/2023,DNR1350671,648.16,.00,463077,
120,RI,7860965,12/19/2023,B04050002665,821.71,.00,406126,
120,RI,7860991,12/19/2023,ANCHOR HOCKING,183.79,.00,620203,
120,RI,7860992,12/19/2023,ANCHOR HOCKING,366.28,.00,620203,
120,RI,7861044,12/19/2023,B04050002666,1231.15,.00,406106,
120,RI,7861104,12/19/2023,B04050002620,27.64,.00,406108,
120,RI,7861180,12/19/2023,B04050002656,497.96,.00,406119,
120,RI,7861185,12/19/2023,B04050002657,1066.79,.00,406110,
120,RI,7861198,12/19/2023,B04050002659,825.26,.00,406108,
120,RI,7861231,12/19/2023,B04050002660,1213.77,.00,406105,
120,RI,7861232,12/19/2023,TGT121823,945.00,.00,406024,
120,RI,7861290,12/19/2023,B04050002662,1319.10,.00,406107,
120,RI,7861301,12/19/2023,B04050002664,1587.99,.00,406115,
120,RI,7861395,12/19/2023,B04050002668,2149.44,.00,406125,
120,RI,7861548,12/19/2023,B04050002669,1224.88,.00,406103,
120,RI,7861553,12/19/2023,B04050002670,1641.05,.00,406101,
120,RI,7861554,12/19/2023,B04050002671,883.72,.00,406111,
120,RI,7861694,12/20/2023,PARTSTOWN,43.05,.00,406024,
120,RI,7861711,12/20/2023,B04060002437,204.19,.00,406004,
120,RI,7862024,12/20/2023,B04050002672,1106.09,.00,406112,
120,RI,7862266,12/21/2023,CELLUCAP,113.77,.00,461145,
120,RI,7862490,12/21/2023,B04050002663,1160.45,.00,406113,
120,RI,7862538,12/21/2023,B04050002673,1299.24,.00,406020,
120,RI,7863070,12/22/2023,1,115.86,.00,406520,
120,RI,7863190,12/22/2023,B04060002509,425.52,.00,406004,
120,RI,7863203,12/22/2023,CANTON122123,811.02,.00,406028,
120,RI,7863378,12/22/2023,B04050002676,829.73,.00,406520,
120,RI,7863456,12/22/2023,B04050002654,32.84,.00,406520,
120,RI,7863530,12/22/2023,VISSTUN.7610,5284.64,.00,499301,
120,RI,7863754,12/27/2023,B04050002677,1134.36,.00,406111,
120,RI,7863825,12/27/2023,B04050002678,1688.74,.00,406125,
120,RI,7863900,12/28/2023,MEL WORTHINGTON,291.04,.00,461060,
120,RI,7863964,12/28/2023,WINCO,56.16,.00,406024,
120,RI,7864003,12/28/2023,B04050002685,868.81,.00,406106,
120,RI,7864212,12/28/2023,B04050002679,395.23,.00,406119,
120,RI,7864216,12/28/2023,B04050002681,671.44,.00,406024,
120,RI,7864217,12/28/2023,B04050002682,1065.14,.00,406110,
120,RI,7864218,12/28/2023,B04050002683,1047.24,.00,406103,
120,RI,7864225,12/28/2023,B04050002684,987.38,.00,406107,
120,RI,7864236,12/28/2023,B04050002686,760.87,.00,406112,
120,RI,7864242,12/28/2023,B04050002688,1052.40,.00,406020,
120,RI,7864409,12/28/2023,B04050002690,1219.36,.00,406113,
120,RI,7864442,12/28/2023,B04060002522,908.11,.00,406004,
120,RI,7864472,12/28/2023,B04050002677,283.06,.00,406111,
120,RI,7864482,12/28/2023,B04050002692,353.47,.00,406119,
120,RI,7864602,12/28/2023,4503600621,91.74,.00,944645,
120,RI,7864688,12/28/2023,TGT121823,56.58,.00,406024,
120,RI,7864689,12/28/2023,TGT112723,246.29,.00,406024,
120,RI,7864705,12/28/2023,B04050002677,56.58,.00,406111,
120,RI,7864771,12/29/2023,B04050002680,27.43,.00,406108,
120,RI,7864772,12/29/2023,B04050002682,27.43,.00,406110,
120,RI,7864916,12/29/2023,B04050002680,622.55,.00,406108,
120,RI,7864930,12/29/2023,B04050002689,867.08,.00,406520,
120,RI,7864969,12/29/2023,B04050002693,74.08,.00,406108,
120,RI,7865249,12/29/2023,2000740120,9480.00,.00,120109,
120,RI,7865334,01/02/2024,B04050002695,1053.54,.00,406126,
120,RI,7865411,01/02/2024,ALLPOINTS,130.42,.00,461502,
120,RI,7865450,01/02/2024,DIETARY,35.99,.00,766201,
120,RI,7865499,01/02/2024,B04050002694,1079.70,.00,406125,
120,RI,7865505,01/02/2024,4523721420,1527.78,.00,650979,
120,RI,7865512,01/02/2024,Dietary,1239.38,.00,820100,
120,RI,7865598,01/02/2024,DIETARY,4472.96,.00,766201,
120,RI,7865610,01/02/2024,B04050002696,1093.31,.00,406110,
120,RI,7865626,01/02/2024,CANTON122923,810.90,.00,406028,
120,RI,7865630,01/02/2024,B04050002698,34.50,.00,406110,
120,RI,7865658,01/02/2024,MAINTENANCE,603.56,.00,583410,
120,RI,7865701,01/02/2024,1706616,145.35,.00,666213,
120,RI,7865724,01/02/2024,B04050002678,22.45,.00,406125,
120,RI,7865739,01/02/2024,HOUSEKEEPING,122.75,.00,820100,
120,RI,7865740,01/02/2024,Dietary,120.90,.00,820100,
120,RI,7865781,01/03/2024,B04060002528,2888.50,.00,406001,
120,RI,7865787,01/03/2024,B04060002529,396.83,.00,406001,
120,RI,7865838,01/03/2024,B04050002700,1184.29,.00,406106,
120,RI,7865859,01/03/2024,B04050002701,49.80,.00,406106,
120,RI,7866033,01/03/2024,Housekeeping,558.09,.00,820100,
120,RI,7866067,01/03/2024,B04050002699,1020.12,.00,406107,
120,RI,7866205,01/03/2024,AMBER,757.03,.00,406112,
120,RI,7866210,01/03/2024,Nursing/Debbie,239.30,.00,766201,
120,RI,7866211,01/03/2024,Laundry/Debbie,1551.73,.00,766201,
120,RI,7866218,01/03/2024,Housekeeping/Debbie,4067.41,.00,766201,
120,RI,7866261,01/03/2024,4503603109,2.71,.00,195445,
120,RI,7866263,01/03/2024,B04050002703,493.19,.00,406103,
120,RI,7866273,01/03/2024,HOUSEKEEPING,2739.72,.00,692753,
120,RI,7866277,01/03/2024,LAUNDRY,2133.29,.00,692753,
120,RI,7866320,01/03/2024,DIETARY,747.08,.00,583410,
120,RI,7866336,01/03/2024,AMANDA,731.00,.00,406108,
120,RI,7866392,01/03/2024,B04050002704,979.28,.00,406111,
120,RI,7866436,01/03/2024,WASH16573,206.90,.00,766849,
120,RI,7866513,01/04/2024,DIETARY,113.55,.00,766201,
120,RI,7866552,01/04/2024,6480 B0950002203,31.27,.00,499301,
120,RI,7866720,01/04/2024,B04060002526,731.35,.00,406008,
120,RI,7866741,01/04/2024,B04050002702,719.72,.00,406115,
120,RI,7866764,01/04/2024,DNR1357412,170.75,.00,463077,
120,RI,7866796,01/04/2024,B04060002531,496.11,.00,406007,
120,RI,7866825,01/04/2024,B01480002051.2D-1249,1202.02,.00,148039,
120,RI,7866837,01/04/2024,B04050002706,1089.29,.00,406113,
120,RI,7866838,01/04/2024,B01460012412.Generic,11071.61,.00,146118,
120,RI,7866882,01/04/2024,HOUSEKEEPING,2018.28,.00,583410,
120,RI,7866884,01/04/2024,LAUNDRY,1693.83,.00,583410,
120,RI,7866892,01/04/2024,DNR1357035,913.98,.00,463077,
120,RI,7866896,01/04/2024,B04060002534,784.55,.00,406004,
120,RI,7866928,01/04/2024,B01480002053.2D-1249,227.72,.00,148039,
120,RI,7866930,01/04/2024,B04050002707,1119.87,.00,406020,
120,RI,7866939,01/04/2024,B04060002536,88.95,.00,406004,
120,RI,7866952,01/04/2024,DNR1372883,37.95,.00,463077,
120,RI,7866954,01/04/2024,DNR1372950,29.85,.00,463077,
120,RI,7867006,01/04/2024,central supply,652.22,.00,820100,
120,RI,7867013,01/04/2024,Housekeeping,1074.38,.00,820100,
120,RI,7867014,01/04/2024,Laundry,679.25,.00,820100,
120,RI,7867096,01/04/2024,B01460012446.2D-1270,7226.42,.00,146137,
120,RI,7867098,01/04/2024,B07400015574,229.75,.00,775193,
120,RI,7867129,01/04/2024,B01460011871.2D-1001,417.77,.00,146137,
120,RI,7867161,01/04/2024,B04060002509,4.53,.00,406004,
120,RI,7867190,01/04/2024,KITCHEN,200.21,.00,620203,
120,RI,7867203,01/05/2024,53955083,215.46,.00,441860,
120,RI,7867204,01/05/2024,54209228,218.08,.00,441860,
120,RI,7867205,01/05/2024,54125718,436.03,.00,441860,
120,RI,7867235,01/05/2024,DANIELLE,168.54,.00,406020,
120,RI,7867268,01/05/2024,B01460012444.Generic,1376.47,.00,146041,
120,RI,7867412,01/05/2024,B04060002524,978.39,.00,406015,
120,RI,7867473,01/05/2024,johnsone,564.03,.00,692753,
120,RI,7867480,01/05/2024,B04050002708,1088.64,.00,406105,
120,RI,7867481,01/05/2024,B04050002709,884.40,.00,406520,
120,RI,7867530,01/05/2024,Kevin. Nsereko CSC,619.08,.00,583410,
120,RI,7867553,01/05/2024,HOUSEKEEPING,186.97,.00,470015,
120,RI,7867613,01/05/2024,Laundry,570.39,.00,820100,
120,RI,7867696,01/05/2024,B01460012465.Generic,4512.14,.00,146031,
120,RI,7867700,01/05/2024,B01460012467.Generic,228.85,.00,146031,
120,RI,7867887,01/05/2024,B04060002515,99.61,.00,406015,
120,RI,7867897,01/05/2024,DIETARY,907.54,.00,766201,
120,RI,7867952,01/08/2024,231175,1913.33,.00,523600,
120,RI,7868028,01/08/2024,B01480002068.2D-1249,1418.13,.00,148038,
120,RI,7868221,01/08/2024,B04050002710,898.95,.00,406101,
120,RI,7868260,01/08/2024,B07400015597,34.85,.00,986632,
120,RI,7868396,01/08/2024,B04050002670,56.58,.00,406101,
120,RI,7868414,01/08/2024,DIETARY,91.21,.00,692753,
120,RI,7868415,01/08/2024,dietary,96.41,.00,692753,
120,RI,7868417,01/08/2024,DIETARY,138.33,.00,766201,
120,RI,7868418,01/08/2024,Dietary,83.69,.00,820100,
120,RI,7868482,01/09/2024,PARTS TOWN,699.44,.00,461304,
120,RI,7868565,01/09/2024,B04050002717,927.01,.00,406106,
120,RI,7868575,01/09/2024,B04050002666,7.19,.00,406106,
120,RI,7868576,01/09/2024,B04050002685,29.00,.00,406106,
120,RI,7868617,01/09/2024,B04610042960,65.80,.00,194660,
120,RI,7868671,01/09/2024,B04060002537,1001.03,.00,406015,
120,RI,7868672,01/09/2024,B04060002538,66.26,.00,406015,
120,RI,7868675,01/09/2024,B04050002711,1180.39,.00,406110,
120,RI,7868677,01/09/2024,B04050002712,659.59,.00,406119,
120,RI,7868682,01/09/2024,B04050002713,725.60,.00,406108,
120,RI,7868749,01/09/2024,4503606630,579.00,.00,944645,
120,RI,7868786,01/09/2024,B04050002714,1390.72,.00,406107,
120,RI,7868791,01/09/2024,B04050002715,754.97,.00,406115,
120,RI,7868858,01/09/2024,0045,269.42,.00,499301,
120,RI,7868869,01/09/2024,4503606697,2004.94,.00,944645,
120,RI,7868875,01/09/2024,4503606790,1942.22,.00,195445,
120,RI,7868890,01/09/2024,B04050002716,1299.14,.00,406024,
120,RI,7868895,01/09/2024,B04050002718,37.21,.00,406119,
120,RI,7868909,01/09/2024,B04050002719,795.03,.00,406103,
120,RI,7868911,01/09/2024,B04050002720,833.54,.00,406125,
120,RI,7868924,01/09/2024,KITCHEN,256.89,.00,620203,
120,RI,7868932,01/09/2024,KITCHEN,255.29,.00,620203,
120,RI,7868989,01/09/2024,B04050002721,759.16,.00,406112,
120,RI,7869019,01/09/2024,CANTON010824,808.61,.00,406028,
120,RI,7869033,01/09/2024,B04050002723,999.89,.00,406111,
120,RI,7869064,01/09/2024,B04050002678,34.07,.00,406125,
120,RI,7869069,01/09/2024,B04060002515,377.76,.00,406015,
120,RI,7869072,01/09/2024,B04050002703,110.49,.00,406103,
120,RI,7869073,01/09/2024,B04050002682,57.67,.00,406110,
120,RI,7869074,01/09/2024,B04050002637,29.00,.00,406110,
120,RI,7869075,01/09/2024,B04050002644,41.47,.00,406125,
120,RI,7869080,01/09/2024,DIETARY,200.34,.00,766201,
120,RI,7869081,01/09/2024,Laundry/Debbie,219.13,.00,766201,
120,RI,7869109,01/09/2024,HOUSEKEEPING,169.28,.00,692753,
120,RI,7869220,01/10/2024,FEDEX,183.37,.00,461011,
120,RI,7869297,01/10/2024,B01460012486.2D-1157,5336.57,.00,146221,
120,RI,7869430,01/10/2024,DIETARY,812.72,.00,583410,
120,RI,7869432,01/10/2024,DIETARY,104.83,.00,583410,
