Deployment ID, Parameter, Value
10924,custscript_laa_je_reclass,"false"
10924,custscript_laa_je_processing_title,"NetLessor Monthly Vendor Bill Processing"
10925,custscript_laa_je_sublist_search,"39813"
10925,custscript_laa_je_vendor_bill,"false"
10925,custscript_laa_je_catchup,"false"
10925,custscript_laa_je_percentage_rent,"true"
10925,custscript_laa_je_reclass,"false"
10925,custscript_laa_je_processing_title,"Calculate Percentage Rent Sales"
10926,custscript_laa_close_out_sublist_search,"39816"
10928,custscript_laa_report_package_parameter,""
10929,custscript_laa_report_package_parameter,""
10930,custscript_laa_report_package_parameter,""
10931,custscript_laa_report_package_parameter,""
10932,custscript_laa_report_package_parameter,""
10933,custscript_laa_report_package_parameter,""
10934,custscript_laa_report_package_parameter,""
10935,custscript_laa_report_package_parameter,""
10936,custscript_laa_report_package_parameter,""
10937,custscript_laa_report_package_parameter,""
10938,custscript_laa_report_parameter,""
10939,custscript_laa_report_parameter,""
10940,custscript_laa_report_parameter,""
10941,custscript_laa_report_parameter,""
10942,custscript_laa_report_parameter,""
10943,custscript_laa_report_parameter,""
10944,custscript_laa_report_parameter,""
10945,custscript_laa_report_parameter,""
10946,custscript_laa_report_parameter,""
10947,custscript_laa_report_parameter,""
10948,custscript_laa_report_parameter,""
10949,custscript_laa_report_parameter,""
10950,custscript_laa_report_parameter,""
10951,custscript_laa_report_parameter,""
10952,custscript_laa_report_parameter,""
10953,custscript_laa_schedule_parameter,""
10954,custscript_laa_schedule_parameter,""
10955,custscript_laa_schedule_parameter,""
10956,custscript_laa_schedule_parameter,""
10957,custscript_laa_schedule_parameter,""
10958,custscript_laa_schedule_parameter,""
10959,custscript_laa_schedule_parameter,""
10960,custscript_laa_schedule_parameter,""
10961,custscript_laa_schedule_parameter,""
10962,custscript_laa_schedule_parameter,""
10963,custscript_laa_schedule_parameter,""
10964,custscript_laa_schedule_parameter,""
10965,custscript_laa_schedule_parameter,""
10966,custscript_laa_schedule_parameter,""
10967,custscript_laa_schedule_parameter,""
10968,custscript_laa_update_transactions,"false"
10968,custscript_laa_test_run,"true"
10968,custscript_laa_update_leases,"true"
10968,custscript_laa_update_schedules,"false"
10969,custscript_laa_termination_parameter,""
10970,custscript_laa_termination_parameter,""
10971,custscript_laa_termination_parameter,""
10972,custscript_laa_termination_parameter,""
10973,custscript_laa_termination_parameter,""
10974,custscript_laa_termination_parameter,""
10975,custscript_laa_termination_parameter,""
10976,custscript_laa_termination_parameter,""
10977,custscript_laa_termination_parameter,""
10978,custscript_laa_termination_parameter,""
10979,custscript_laa_termination_parameter,""
10980,custscript_laa_termination_parameter,""
10981,custscript_laa_termination_parameter,""
10982,custscript_laa_termination_parameter,""
10983,custscript_laa_termination_parameter,""
10985,custscript_laa_reclass_parameter,""
10986,custscript_laa_reclass_parameter,""
10987,custscript_laa_reclass_parameter,""
10988,custscript_laa_reclass_parameter,""
10989,custscript_laa_reclass_parameter,""
10990,custscript_laa_reclass_parameter,""
10991,custscript_laa_reclass_parameter,""
10992,custscript_laa_reclass_parameter,""
10993,custscript_laa_reclass_parameter,""
10994,custscript_laa_reclass_parameter,""
10995,custscript_laa_prepaid_parameter,""
10996,custscript_laa_prepaid_parameter,""
10997,custscript_laa_prepaid_parameter,""
10998,custscript_laa_prepaid_parameter,""
10999,custscript_laa_prepaid_parameter,""
110,custscriptmktingcontact,""
110,custscriptemailcontact,""
11000,custscript_laa_ls_cutover_test_lease,""
11001,custscript_laa_approval_parameter,""
11002,custscript_laa_approval_parameter,""
11003,custscript_laa_approval_parameter,""
11004,custscript_laa_approval_parameter,""
11005,custscript_laa_approval_parameter,""
11006,custscript_laa_approval_parameter,""
11007,custscript_laa_approval_parameter,""
11008,custscript_laa_approval_parameter,""
11009,custscript_laa_approval_parameter,""
11010,custscript_laa_approval_parameter,""
11011,custscript_laa_approval_parameter,""
11012,custscript_laa_approval_parameter,""
11013,custscript_laa_approval_parameter,""
11014,custscript_laa_approval_parameter,""
11015,custscript_laa_approval_parameter,""
11016,custscript_laa_refresh_parameter,""
11017,custscript_laa_refresh_parameter,""
11018,custscript_laa_refresh_parameter,""
11019,custscript_laa_refresh_parameter,""
11020,custscript_laa_refresh_parameter,""
11021,custscript_laa_close_out_parameter,""
11022,custscript_laa_close_out_parameter,""
11023,custscript_laa_close_out_parameter,""
11024,custscript_laa_close_out_parameter,""
11025,custscript_laa_close_out_parameter,""
11026,custscript_laa_close_out_parameter,""
11027,custscript_laa_close_out_parameter,""
11028,custscript_laa_close_out_parameter,""
11029,custscript_laa_close_out_parameter,""
11030,custscript_laa_close_out_parameter,""
11032,custscript_laa_billing_parameter,""
11033,custscript_laa_billing_parameter,""
11034,custscript_laa_billing_parameter,""
11035,custscript_laa_billing_parameter,""
11036,custscript_laa_billing_parameter,""
11037,custscript_laa_billing_parameter,""
11038,custscript_laa_billing_parameter,""
11039,custscript_laa_billing_parameter,""
11040,custscript_laa_billing_parameter,""
11041,custscript_laa_billing_parameter,""
11042,custscript_laa_commence_parameter,""
11043,custscript_laa_commence_parameter,""
11044,custscript_laa_commence_parameter,""
11045,custscript_laa_commence_parameter,""
11046,custscript_laa_commence_parameter,""
11047,custscript_laa_commence_parameter,""
11048,custscript_laa_commence_parameter,""
11049,custscript_laa_commence_parameter,""
11050,custscript_laa_commence_parameter,""
11051,custscript_laa_commence_parameter,""
11052,custscript_laa_modification_parameter,""
11053,custscript_laa_modification_parameter,""
11054,custscript_laa_modification_parameter,""
11055,custscript_laa_modification_parameter,""
11056,custscript_laa_modification_parameter,""
11057,custscript_laa_modification_parameter,""
11058,custscript_laa_modification_parameter,""
11059,custscript_laa_modification_parameter,""
11060,custscript_laa_modification_parameter,""
11061,custscript_laa_modification_parameter,""
11062,custscript_laa_journal_parameter,""
11063,custscript_laa_journal_parameter,""
11064,custscript_laa_journal_parameter,""
11065,custscript_laa_journal_parameter,""
11066,custscript_laa_journal_parameter,""
11067,custscript_laa_journal_parameter,""
11068,custscript_laa_journal_parameter,""
11069,custscript_laa_journal_parameter,""
11070,custscript_laa_journal_parameter,""
11071,custscript_laa_journal_parameter,""
11072,custscript_laa_842_conversion_parameter,""
11073,custscript_laa_842_conversion_parameter,""
11074,custscript_laa_842_conversion_parameter,""
11075,custscript_laa_842_conversion_parameter,""
11076,custscript_laa_842_conversion_parameter,""
11077,custscript_laa_842_conversion_parameter,""
11078,custscript_laa_842_conversion_parameter,""
11079,custscript_laa_842_conversion_parameter,""
11080,custscript_laa_842_conversion_parameter,""
11081,custscript_laa_842_conversion_parameter,""
11082,custscript_laa_842_conversion_parameter,""
11083,custscript_laa_842_conversion_parameter,""
11084,custscript_laa_842_conversion_parameter,""
11085,custscript_laa_842_conversion_parameter,""
11086,custscript_laa_842_conversion_parameter,""
111,custscriptmktingcontact,""
111,custscriptemailcontact,""
11118,custscriptr7_pending_fulfillments_mr,"38521"
11119,custscriptr7_pending_fulfillments_mr,"39955"
11120,custscriptr7_pending_fulfillments_mr,"38521"
11121,custscript_r7_ar_cust_collection_refresh,"true"
11121,custscript_r7_ar_collect_rep_search,"customsearch_r7_cust_ar_collection_rep"
11186,custscript_diagnosisschedsetup_procid,""
11248,custscript_coupa_int_email_recipients,"accountspayable@rapid7.com,jeffrey_obrien@rapid7.com,diane_tomany@rapid7.com"
11249,custscript_coupa_int_email_recipients,"accountspayable@rapid7.com,jeffrey_obrien@rapid7.com,diane_tomany@rapid7.com"
11429,custscript_renderregreport_params,""
11429,custscript_renderregreport_fprid,""
11430,custscript_searchregreportdata_params,""
11430,custscript_searchregreportdata_fprid,""
11431,custscript_renderdeprmonth_fprid,""
11431,custscript_renderdeprmonth_params,""
11432,custscript_transfercsv_totransfer,""
11432,custscript_transfercsv_fprid,""
11432,custscript_transfercsv_fileid,""
11432,custscript_transfercsv_lastrow,""
11433,custscript_checksummaries_fprid,""
11433,custscript_checksummaries_params,""
11433,custscript_checksummaries_currpage,""
11433,custscript_checksummaries_list,""
11434,custscript_rendersummreport_fprid,""
11434,custscript_rendersummreport_params,""
11435,custscript_searchregreportszv_fprid,""
11435,custscript_searchregreportszv_params,""
11436,custscript_rendersched16_fprid,""
11437,custscript_errorhandling_type,""
11437,custscript_errorhandling_params,""
11439,custscript_searchjpspecdeprvals_fprid,""
11439,custscript_searchjpspecdeprvals_params,""
11443,custscript_fam_mr_genderogdhr_fprid,""
11444,custscript_deleteforecast_procid,""
11445,custscript_createleasepayment_fprid,""
11448,custscript_reverseintjrn_fprid,""
11449,custscript_addassetvals_procid,""
1145,custscriptr7licreqproc_oddrecsonly,"1"
11450,custscript_fam_generateleasesched_fprid,""
11451,custscript_split_fprid,""
11451,custscript_split_rec_type,""
11452,custscript_fam_postprocess_rollback,"false"
11452,custscript_fam_mr_postprocess_bgp,""
11452,custscript_fam_mr_postprocess_fpr,""
11453,custscript_fam_mr_rollbackrecords_bgp,""
11454,custscript_migrate_searchid,""
11454,custscript_migrate_lastid,""
11454,custscript_migrate_fprid,""
11455,custscript_deactivatelpay_fprid,""
11456,custscript_recint_fprid,""
11457,custscript_genassets_propids,""
11457,custscript_genassets_fprid,""
11458,custscript_migratetoprec_lastids,""
11458,custscript_migratetoprec_status,""
11458,custscript_migratetoprec_fprid,""
11458,custscript_migratetoprec_lastid,""
11458,custscript_migratetoprec_type,""
11459,custscript_proposeasset_procid,""
1146,custscriptr7licreqproc_oddrecsonly2,"2"
11460,custscript_delassetdhr_fprid,""
11461,custscript_fam_mr_updateassetinvoice_bgp,""
11461,custscript_fam_invasset_link_list,""
11463,custscript_finalizeleaseprop_procid,""
11464,custscript_fam_mr_proposalsplit_bgpid,""
11464,custscript_fam_mr_proposalsplit_fprid,""
11465,custscript_delasset_fprid,""
11466,custscript_resetjpassets_fprid,""
11469,custscript_dispose_procid,""
1147,custscriptr7licreqproc_oddrecsonly2,"2"
11470,custscript_postdepr_nobook_asset,""
11470,custscript_postdepr_nobook_maxslave,""
11470,custscript_postdepr_nobook_subsidiary,""
11470,custscript_postdepr_nobook_fprid,""
11470,custscript_postdepr_nobook_lastslave,""
11470,custscript_postdepr_nobook_assettype,""
11470,custscript_postdepr_nobook_period,""
11471,custscript_transfer_validate_date,""
11471,custscript_transfer_validate_recstoproc,""
11471,custscript_transfer_validate_fprid,""
11472,custscript_revalue_date,""
11472,custscript_revalue_fprid,""
11472,custscript_revalue_records,""
11472,custscript_revalue_jrnpermit,""
11472,custscript_revalue_memo,""
11473,custscript_createsummaries_fprid,""
11473,custscript_createsummaries_list,""
11475,custscript_postdepr_slaveids,""
11475,custscript_postdepr_upd_fprid,""
11476,custscript_postdepr_fprid,""
11476,custscript_postdepr_asset,""
11476,custscript_postdepr_jrnids,""
11478,custscript_resetassetvals_procid,""
11479,custscript_attachlp_procid,""
1148,custscriptr7licreqproc_oddrecsonly2,"2"
11480,custscript_validateasset_fprid,""
11481,custscript_deprschedreport_fprid,""
11481,custscript_deprschedreport_params,""
11482,custscript_precalc_assettype,""
11482,custscript_precalc_subsidiary,""
11482,custscript_precalc_is_ondemand,"false"
11482,custscript_precalc_maxslaveid,""
11482,custscript_precalc_fprid,""
11482,custscript_precalc_book,""
11482,custscript_precalc_asset,""
11482,custscript_precalc_maxdate,""
11482,custscript_precalc_slaveid,""
11483,custscript_nonmigrated_asset_id,""
11484,custscript_deleteschedule_fprid,""
11484,custscript_deleteschedule_lastdhrid,""
11484,custscript_deleteschedule_lastids,""
11485,custscript_convertassetids_fprid,""
11485,custscript_convertassetids_ardlist,""
11486,custscript_deprmonthreport_params,""
11486,custscript_deprmonthreport_fprid,""
11487,custscript_migrate_postingtax_fprid,""
11487,custscript_migrate_postingtax_searchid,""
11488,custscript_postupgradeschk_procid,""
11489,custscript_transfer_permit,""
11489,custscript_transfer_fprid,""
11489,custscript_transfer_date,""
11489,custscript_transfer_records,""
1149,custscriptr7licreqproc_oddrecsonly,"1"
11490,custscript_journal_subsidiary,""
11490,custscript_journal_assettype,""
11490,custscript_journal_prmt,"0"
11490,custscript_journal_asset,""
11490,custscript_journal_maxsumid,""
11490,custscript_journal_fpr,""
11490,custscript_journal_period,""
11490,custscript_journal_memo,""
11490,custscript_journal_book,""
11490,custscript_journal_lastsumid,""
11491,custscript_updcom_fprid,""
11491,custscript_updcom_maxid,""
11491,custscript_updcom_lastid,""
11509,custscript_r7_opportunity_cs_fileid,"11674412"
11510,custscript_r7_cashsale_cs_fileid,"11639882"
11511,custscript_r7_creditmemo_cs_fileid,"11639884"
11513,custscript_r7_so_default_csm,""
11513,custscript_r7_salesorder_cs_fileid,"11639891"
11513,custscript_r7_so_itemtoremove,""
11513,custscript_r7_arr_search_id,"36757"
11627,custscript_r7_invoice_cs_fileid,"11639885"
11627,custscript_r7_emp_notify_empty_addr,""
11628,custscript_r7_quote_client_script_fileid,"11639888"
11736,custscript_8299_retry_eventid,""
11736,custscript_8299_lic_request_type,"SCHEDULED"
11736,custscript_8299_retry_count,""
11737,custscript_8299_retry_eventid,""
11737,custscript_8299_lic_request_type,"SCHEDULED"
11737,custscript_8299_retry_count,""
11738,custscript_8299_retry_eventid,""
11738,custscript_8299_lic_request_type,"SCHEDULED"
11738,custscript_8299_retry_count,""
11739,custscript_8299_retry_eventid,""
11739,custscript_8299_lic_request_type,"SCHEDULED"
11739,custscript_8299_retry_count,""
11740,custscript_8299_retry_eventid,""
11740,custscript_8299_lic_request_type,"SCHEDULED"
11740,custscript_8299_retry_count,""
11741,custscript_8299_retry_eventid,""
11741,custscript_8299_lic_request_type,"SCHEDULED"
11741,custscript_8299_retry_count,""
11742,custscript_8299_retry_eventid,""
11742,custscript_8299_lic_request_type,"MANUAL"
11742,custscript_8299_retry_count,""
11743,custscript_8299_retry_eventid,""
11743,custscript_8299_lic_request_type,"RETRY"
11743,custscript_8299_retry_count,""
11744,custscript_8299_retry_eventid,""
11744,custscript_8299_lic_request_type,"SCHEDULED"
11744,custscript_8299_retry_count,""
11745,custscript_8299_retry_eventid,""
11745,custscript_8299_lic_request_type,"SCHEDULED"
11745,custscript_8299_retry_count,""
11746,custscript_8299_retry_eventid,""
11746,custscript_8299_lic_request_type,"SCHEDULED"
11746,custscript_8299_retry_count,""
11747,custscript_8299_retry_eventid,""
11747,custscript_8299_lic_request_type,"SCHEDULED"
11747,custscript_8299_retry_count,""
11748,custscript_8299_retry_eventid,""
11748,custscript_8299_lic_request_type,"SCHEDULED"
11748,custscript_8299_retry_count,""
11749,custscript_8299_retry_eventid,""
11749,custscript_8299_lic_request_type,"SCHEDULED"
11749,custscript_8299_retry_count,""
11750,custscript_8299_retry_eventid,""
11750,custscript_8299_lic_request_type,"SCHEDULED"
11750,custscript_8299_retry_count,""
11751,custscript_8299_retry_eventid,""
11751,custscript_8299_lic_request_type,"SCHEDULED"
11751,custscript_8299_retry_count,""
11752,custscript_8299_retry_eventid,""
11752,custscript_8299_lic_request_type,"SCHEDULED"
11752,custscript_8299_retry_count,""
11832,custscript_il_chks_pdf_isdebug,"false"
11849,custscript_shaam_isdebug,"false"
11849,custscript_shaam_run_in_scheduler,"false"
11854,custscript_il_printforms_numofrows,""
11854,custscript_il_numofrows_wht_list,""
11854,custscript_il_paybills_numofrows,""
11854,custscript_il_print_tran_lang,""
11854,custscript_il_fromemail_addr,""
11878,custscript5,""
11895,custscript1_2,""
11911,custscript_il_btchprint_records_ids,""
11911,custscript_il_btchprint_params,""
11912,custscript_shaamfile_recid,""
11912,custscript_shaamfile_ismivzak,"false"
11912,custscript_shaamfile_isdebug,"false"
11913,custscript_il_mlt_exchrep_account,""
11913,custscript_il_mlt_exchrep_enddate,""
11913,custscript_il_mlt_exchrep_startdate,""
11913,custscript_il_mlt_exchrep_subs,""
11914,custscript_il_wht_subs,""
11914,custscript_il_wht_year,""
11914,custscript_il_wht_vendor,""
11914,custscript_il_wht_exclwhtgrp,"false"
11915,custscript_num_retries,"0"
11915,custscript_max_retries,"50"
11915,custscript_ils_only,"true"
11916,custscript_num_retries,""
11916,custscript_max_retries,""
11916,custscript_ils_only,"false"
11917,custscript_il_upd_tran_ilform_custform,"200"
11918,custscript_asciicomp,""
11918,custscript_asciiexclwhtgrp,"false"
11918,custscript_asciitaxyear,""
11918,custscript_asciisubsidiary,""
11918,custscript_ascii_qeueid,""
11919,custscript_fromdate,""
11919,custscript_xls_exclwhtgrp,"false"
11919,custscript_todate,""
11919,custscript_xls_qeueid,""
11919,custscript_xls_subsidiary,""
11919,custscript_xls_groupby,""
11919,custscript_xls_vendorid,""
11920,custscript_xls_exclwhtgrp_s,"false"
11920,custscript_todate_sum,""
11920,custscript_xls_subsidiary_sum,""
11920,custscript_xls_vendorid_s,""
11920,custscript_xls_sum_qeueid,""
11920,custscript_xls_groupby_su,""
11920,custscript_fromdate_sum,""
11921,custscript_il_sch_sendc_recordsids,""
11921,custscript_il_sch_sendc_params,""
11922,custscript_il_salary_import_debug,"false"
11922,custscript_il_salary_import_recid,""
11922,custscript_il_salary_import_do_clean,"false"
11924,custscript_il_entity_formid,""
11930,custscript_il_v2_of_batch_rep_params,""
11930,custscript_il_v2_of_batch_rep_enasrchdbg,"false"
11941,custscript_mdr_spv_csv_file_id,"11712989"
122,custscript_r7avataxllc,""
122,custscript_r7avataxuk,""
123,custscript_r7avataxllc,"376"
123,custscript_r7avataxuk,"2051"
124,custscript_r7avataxllc,""
124,custscript_r7avataxuk,""
1240,custscriptzcdeleteoldscrub_attemptedrecs,""
1241,custscriptzcdeleteoldscrub_attemptedrecs,""
1242,custscriptzcdeleteoldscrub_attemptedrecs,""
1243,custscriptzc_realtimescrubprocessor,"true"
1244,custscriptzc_realtimescrubprocessor,"true"
125,custscriptr7dedupescheduled,"false"
126,custscriptdaily_session_identifier,""
13,custscriptmsnsintegscheduled,"true"
135,custscriptnxendpoint_old,""
137,custscriptr7approvalsca_replacedmaterial,"false"
1370,custscriptr7ratscripttrantoproccess,""
1371,custscriptr7ratscripttrantoproccess,""
1372,custscriptr7ratscripttrantoproccess,""
1373,custscriptr7ratscripttrantoproccess,""
1374,custscriptr7ratscripttrantoproccess,""
1375,custscriptr7ratscripttrantoproccess,""
1376,custscriptr7ratablehistoricdeleterev,"17125"
1377,custscriptr7ratablehistoricdeleterev,"17127"
1378,custscriptr7ratablehistoricdeleterev,"17128"
1379,custscriptr7ratablehistoricdeleterev,"17129"
1380,custscriptr7ratablehistoricdeleterev,"17130"
1381,custscriptr7ratablehistoricdeleterev,"17131"
1382,custscriptr7ratablehistoricdeleterev,"17132"
1383,custscriptr7ratablehistoricdeleterev,"17133"
1384,custscriptr7ratablehistoricdeleterev,"19887"
1385,custscriptr7ratablehistoricdeleterev,"19906"
1386,custscriptr7ratablehistoricdeleterev,"19907"
1387,custscriptr7ratablehistoricdeleterev,"17137"
1388,custscriptr7ratablehistoricsrchiduse,"17109"
1389,custscriptr7ratablehistoricsrchiduse,"17110"
139,custscript_r7_approvals_status,""
139,custscript_r7_approvals_opportunity,""
139,custscript_r7_approvals_description,""
139,custscript_r7_approvals_rule,""
139,custscript_r7_approvals_dateresponded,""
139,custscript_r7_approvals_approver,""
1390,custscriptr7ratablehistoricsrchiduse,"17111"
1391,custscriptr7ratablehistoricsrchiduse,"17112"
1392,custscriptr7ratablehistoricsrchiduse,"17113"
1393,custscriptr7ratablehistoricsrchiduse,"17114"
1394,custscriptr7ratablehistoricsrchiduse,"17115"
1395,custscriptr7ratablehistoricsrchiduse,"17119"
1396,custscriptr7ratablehistoricsrchiduse,"17120"
1397,custscriptr7ratablehistoricsrchiduse,"17121"
1398,custscriptr7ratablehistoricsrchiduse,"17122"
1399,custscriptr7ratablehistoricsrchiduse,"17123"
140,custscript_r7_approval_rules_trigger_new,"4,23"
1401,custscript_eitf81_cs_apply_support_api,"false"
1401,custscript_msmodel,"1"
1401,custscript_eitf81_cs_term_in_months_id,"revrecterminmonths"
1401,custscript_eitf81_cs_pshours_id,"custcol_e81_ps_hours"
1401,custscript_eitf81_cs_trans_vsoe_bundle,"false"
1401,custscript_eitf81_cs_vsoe_esp,"true"
1401,custscript_eitf81_cs_vsoe_esp_start_date,"Tue Jan 01 2008 00:00:00 GMT-0800 (PST)"
1401,custscript_eitf81_cs_vsoe_apply_continge,"false"
1401,custscript_eitf81_cs_autocalc_vsoe_alloc,"false"
1401,custscript_eitf81_cs_autocalc_revall,"true"
1402,custscript_eitf81_cs_apply_support_api,"false"
1402,custscript_msmodel,"1"
1402,custscript_eitf81_cs_term_in_months_id,"revrecterminmonths"
1402,custscript_eitf81_cs_pshours_id,"custcol_e81_ps_hours"
1402,custscript_eitf81_cs_trans_vsoe_bundle,"false"
1402,custscript_eitf81_cs_vsoe_esp,"true"
1402,custscript_eitf81_cs_vsoe_esp_start_date,"Tue Jan 01 2008 00:00:00 GMT-0800 (PST)"
1402,custscript_eitf81_cs_vsoe_apply_continge,"false"
1402,custscript_eitf81_cs_autocalc_vsoe_alloc,"false"
1402,custscript_eitf81_cs_autocalc_revall,"true"
1404,custscript_eitf81_cs_apply_support_api,"false"
1404,custscript_msmodel,"1"
1404,custscript_eitf81_cs_term_in_months_id,"revrecterminmonths"
1404,custscript_eitf81_cs_pshours_id,"custcol_e81_ps_hours"
1404,custscript_eitf81_cs_trans_vsoe_bundle,"false"
1404,custscript_eitf81_cs_vsoe_esp,"true"
1404,custscript_eitf81_cs_vsoe_esp_start_date,"Tue Jan 01 2008 00:00:00 GMT-0800 (PST)"
1404,custscript_eitf81_cs_vsoe_apply_continge,"false"
1404,custscript_eitf81_cs_autocalc_vsoe_alloc,"false"
1404,custscript_eitf81_cs_autocalc_revall,"true"
1406,custscript_eitf81_cs_apply_support_api,"false"
